"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C188","C_0402","53.0098mm","56.9976mm","53.0098mm","56.9976mm","53.5098mm","56.9976mm","T","180.00","GRM155R61A474KE15D"
"C187","C_0402","44.6786mm","63.3984mm","44.6786mm","63.3984mm","44.6786mm","63.8984mm","T","270.00","GRM155R61A474KE15D"
"C186","C_0402","55.4736mm","75.4126mm","55.4736mm","75.4126mm","55.4736mm","74.9126mm","T","90.00","GRM155R61A474KE15D"
"C185","C_0402","49.9364mm","69.8754mm","49.9364mm","69.8754mm","50.4364mm","69.8754mm","T","180.00","GRM155R61A474KE15D"
"C184","C_0402","61.9506mm","61.9244mm","61.9506mm","61.9244mm","62.4506mm","61.9244mm","T","180.00","GRM155R61A474KE15D"
"C183","C_0402","53.467mm","79.4258mm","53.467mm","79.4258mm","53.467mm","78.9258mm","T","90.00","GRM155R61A474KE15D"
"C182","C_0402","47.9552mm","59.8678mm","47.9552mm","59.8678mm","47.4552mm","59.8678mm","T","360.00","GRM155R61A474KE15D"
"C181","C_0402","48.4378mm","62.3824mm","48.4378mm","62.3824mm","48.4378mm","62.8824mm","T","270.00","GRM155R61A474KE15D"
"C180","C_0805","47.4472mm","56.0832mm","47.4472mm","56.0832mm","46.4472mm","56.0832mm","T","360.00","GRM21BR71A475KA73L"
"C179","C_0805","69.2658mm","74.8284mm","69.2658mm","74.8284mm","69.2658mm","75.8284mm","T","270.00","GRM21BR71A475KA73L"
"C178","C_0805","42.6212mm","75.9206mm","42.6212mm","75.9206mm","42.6212mm","74.9206mm","T","90.00","GRM21BR71A475KA73L"
"C177","C_0805","66.1162mm","81.5594mm","66.1162mm","81.5594mm","65.1162mm","81.5594mm","T","360.00","GRM21BR71A475KA73L"
"C176","C_0805","65.4558mm","55.118mm","65.4558mm","55.118mm","65.4558mm","56.118mm","T","270.00","GRM21BR71A475KA73L"
"C175","C_0805","69.2658mm","78.9432mm","69.2658mm","78.9432mm","69.2658mm","77.9432mm","T","90.00","GRM21BR71A475KA73L"
"C174","C_0805","52.2986mm","54.9148mm","52.2986mm","54.9148mm","53.2986mm","54.9148mm","T","180.00","GRM21BR71A475KA73L"
"C173","C_0805","42.5958mm","63.0428mm","42.5958mm","63.0428mm","42.5958mm","64.0428mm","T","270.00","GRM21BR71A475KA73L"
"C172","C_0805","40.1574mm","63.0428mm","40.1574mm","63.0428mm","40.1574mm","64.0428mm","T","270.00","GRM21BR71A475KA73L"
"C171","C_0805","42.8244mm","79.2734mm","42.8244mm","79.2734mm","43.8244mm","79.2734mm","T","180.00","GRM21BR71A475KA73L"
"C170","C_0805","42.7736mm","82.0674mm","42.7736mm","82.0674mm","43.7736mm","82.0674mm","T","180.00","GRM21BR71A475KA73L"
"C169","C_0805","63.246mm","54.743mm","63.246mm","54.743mm","63.246mm","55.743mm","T","270.00","GRM21BR71A475KA73L"
"C168","C_1210","73.0758mm","75.9714mm","73.0758mm","75.9714mm","73.0758mm","77.4714mm","T","270.00","GRM32ER70J476ME20L"
"C167","C_1210","68.834mm","54.383mm","68.834mm","54.383mm","68.834mm","55.883mm","T","270.00","GRM32ER70J476ME20L"
"C166","C_1210","42.291mm","85.6996mm","42.291mm","85.6996mm","43.791mm","85.6996mm","T","180.00","GRM32ER70J476ME20L"
"C165","C_1210","63.7794mm","85.0646mm","63.7794mm","85.0646mm","65.2794mm","85.0646mm","T","180.00","GRM32ER70J476ME20L"
"C164","C_0402","60.96mm","72.898mm","60.96mm","72.898mm","60.46mm","72.898mm","T","360.00","GRM155R61A474KE15D"
"C163","C_0402","59.436mm","72.39mm","59.436mm","72.39mm","59.436mm","71.89mm","T","90.00","GRM155R61A474KE15D"
"C162","C_0402","60.9346mm","71.9074mm","60.9346mm","71.9074mm","61.4346mm","71.9074mm","T","180.00","GRM155R61A474KE15D"
"C161","C_0805","56.769mm","56.1848mm","56.769mm","56.1848mm","57.769mm","56.1848mm","T","180.00","GRM21BR71A475KA73L"
"C160","C_0805","41.402mm","71.6788mm","41.402mm","71.6788mm","41.402mm","70.6788mm","T","90.00","GRM21BR71A475KA73L"
"C159","C_0402","55.4228mm","65.3796mm","55.4228mm","65.3796mm","55.4228mm","65.8796mm","T","270.00","GRM155R61A474KE15D"
"C158","C_0402","57.9374mm","63.881mm","57.9374mm","63.881mm","58.4374mm","63.881mm","T","180.00","GRM155R61A474KE15D"
"C157","C_0805","57.3024mm","81.5594mm","57.3024mm","81.5594mm","58.3024mm","81.5594mm","T","180.00","GRM21BR71A475KA73L"
"C156","C_0805","56.7436mm","53.7972mm","56.7436mm","53.7972mm","57.7436mm","53.7972mm","T","180.00","GRM21BR71A475KA73L"
"C155","C_0402","57.4548mm","65.3796mm","57.4548mm","65.3796mm","57.4548mm","64.8796mm","T","90.00","GRM155R61A474KE15D"
"C154","C_0402","60.9346mm","64.8462mm","60.9346mm","64.8462mm","61.4346mm","64.8462mm","T","180.00","GRM155R61A474KE15D"
"C153","C_0805","70.485mm","66.6496mm","70.485mm","66.6496mm","70.485mm","67.6496mm","T","270.00","GRM21BR71A475KA73L"
"C152","C_0805","57.3024mm","84.0232mm","57.3024mm","84.0232mm","58.3024mm","84.0232mm","T","180.00","GRM21BR71A475KA73L"
"C151","C_0402","58.9534mm","70.8914mm","58.9534mm","70.8914mm","58.4534mm","70.8914mm","T","360.00","GRM155R61A474KE15D"
"C150","C_0402","58.9534mm","64.8462mm","58.9534mm","64.8462mm","59.4534mm","64.8462mm","T","180.00","GRM155R61A474KE15D"
"C149","C_0805","69.2658mm","70.9676mm","69.2658mm","70.9676mm","69.2658mm","69.9676mm","T","90.00","GRM21BR71A475KA73L"
"C148","C_0805","41.4274mm","67.1068mm","41.4274mm","67.1068mm","41.4274mm","68.1068mm","T","270.00","GRM21BR71A475KA73L"
"C147","C_0402","55.4736mm","73.406mm","55.4736mm","73.406mm","55.4736mm","72.906mm","T","90.00","GRM155R61A474KE15D"
"C146","C_0402","58.9788mm","65.8876mm","58.9788mm","65.8876mm","58.4788mm","65.8876mm","T","360.00","GRM155R61A474KE15D"
"C145","C_0805","43.9166mm","67.1068mm","43.9166mm","67.1068mm","43.9166mm","68.1068mm","T","270.00","GRM21BR71A475KA73L"
"C144","C_0805","71.6788mm","71.0184mm","71.6788mm","71.0184mm","71.6788mm","70.0184mm","T","90.00","GRM21BR71A475KA73L"
"C143","C_0402","55.4736mm","71.3994mm","55.4736mm","71.3994mm","55.4736mm","70.8994mm","T","90.00","GRM155R61A474KE15D"
"C142","C_0402","60.9346mm","65.8876mm","60.9346mm","65.8876mm","60.4346mm","65.8876mm","T","360.00","GRM155R61A474KE15D"
"C141","C_0805","60.1218mm","55.118mm","60.1218mm","55.118mm","60.1218mm","56.118mm","T","270.00","GRM21BR71A475KA73L"
"C140","C_0805","61.849mm","81.5594mm","61.849mm","81.5594mm","60.849mm","81.5594mm","T","360.00","GRM21BR71A475KA73L"
"C139","C_0805","52.07mm","85.725mm","52.07mm","85.725mm","51.07mm","85.725mm","T","360.00","GRM21BR71A475KA73L"
"C138","C_0402","61.9506mm","66.8782mm","61.9506mm","66.8782mm","61.4506mm","66.8782mm","T","360.00","GRM155R61A474KE15D"
"C137","C_1210","74.5236mm","65.8114mm","74.5236mm","65.8114mm","74.5236mm","67.3114mm","T","270.00","GRM32ER70J476ME20L"
"C136","C_0805","43.9928mm","71.6788mm","43.9928mm","71.6788mm","43.9928mm","72.6788mm","T","270.00","GRM21BR71A475KA73L"
"C135","C_0402","60.96mm","67.8942mm","60.96mm","67.8942mm","60.46mm","67.8942mm","T","360.00","GRM155R61A474KE15D"
"C134","C_0402","57.4548mm","70.4088mm","57.4548mm","70.4088mm","57.4548mm","69.9088mm","T","90.00","GRM155R61A474KE15D"
"C133","C_1210","42.8498mm","56.0913mm","42.8498mm","56.0913mm","42.8498mm","57.5913mm","T","270.00","GRM32ER70J476ME20L"
"C132","C_0805","52.07mm","83.0072mm","52.07mm","83.0072mm","51.07mm","83.0072mm","T","360.00","GRM21BR71A475KA73L"
"C131","C_0402","57.9628mm","66.9036mm","57.9628mm","66.9036mm","57.4628mm","66.9036mm","T","360.00","GRM155R61A474KE15D"
"C130","C_0402","57.9374mm","71.9074mm","57.9374mm","71.9074mm","57.4374mm","71.9074mm","T","360.00","GRM155R61A474KE15D"
"C129","C_0402","60.96mm","63.8556mm","60.96mm","63.8556mm","60.46mm","63.8556mm","T","360.00","GRM155R61A474KE15D"
"C128","C_0402","60.9346mm","70.9168mm","60.9346mm","70.9168mm","60.4346mm","70.9168mm","T","360.00","GRM155R61A474KE15D"
"C127","C_D","54.8754mm","90.997mm","54.8754mm","90.997mm","58.1254mm","90.997mm","T","180.00","T520D337M006ATE015"
"C126","C_1210","47.9298mm","84.5566mm","47.9298mm","84.5566mm","47.9298mm","83.0566mm","T","90.00","GRM32ER70J476ME20L"
"C125","C_0402","57.9374mm","72.898mm","57.9374mm","72.898mm","58.4374mm","72.898mm","T","180.00","GRM155R61A474KE15D"
"C124","C_0402","60.9346mm","69.8754mm","60.9346mm","69.8754mm","61.4346mm","69.8754mm","T","180.00","GRM155R61A474KE15D"
"C123","C_D","79.7052mm","71.501mm","79.7052mm","71.501mm","79.7052mm","68.251mm","T","90.00","T520D337M006ATE015"
"C122","C_0402","42mm","93.5mm","42mm","93.5mm","42.5mm","93.5mm","T","180.00",""
"C121","C_0402","71.075mm","97.7mm","71.075mm","97.7mm","71.075mm","97.2mm","B","90.00",""
"C120","C_1210","6.4008mm","38.5826mm","6.4008mm","38.5826mm","6.4008mm","37.0826mm","B","90.00","GRM32ER70J476ME20L"
"C119","C_1210","40.0558mm","79.4004mm","40.0558mm","79.4004mm","40.0558mm","80.9004mm","B","270.00","GRM32ER70J476ME20L"
"C118","C_0402","13.975mm","37.35mm","13.975mm","37.35mm","13.975mm","36.85mm","B","90.00",""
"C117","C_0402","32.1818mm","80.391mm","32.1818mm","80.391mm","32.1818mm","80.891mm","B","270.00",""
"C116","C_0402","13.95mm","41.625mm","13.95mm","41.625mm","13.95mm","42.125mm","B","270.00",""
"C115","C_0402","32.1818mm","75.8444mm","32.1818mm","75.8444mm","32.1818mm","75.3444mm","B","90.00",""
"C114","C_1210","6.4008mm","44.9326mm","6.4008mm","44.9326mm","6.4008mm","46.4326mm","B","270.00","C3225X5R1C226M250AA"
"C113","C_1210","40.0558mm","72.6186mm","40.0558mm","72.6186mm","40.0558mm","71.1186mm","B","90.00","C3225X5R1C226M250AA"
"C112","C_0402","48.55mm","29.475mm","48.55mm","29.475mm","48.05mm","29.475mm","T","0.00",""
"C111","C_0402","66.2004mm","88.4428mm","66.2004mm","88.4428mm","66.7004mm","88.4428mm","B","180.00",""
"C110","C_0402","34.3522mm","30.1482mm","34.3522mm","30.1482mm","34.3522mm","30.6482mm","T","270.00",""
"C109","C_0402","55.9562mm","67.8942mm","55.9562mm","67.8942mm","55.4562mm","67.8942mm","T","360.00",""
"C108","C_0402","31.4842mm","-1mm","31.4842mm","-1mm","31.4842mm","-0.5mm","B","270.00",""
"C107","C_0402","76.6826mm","27.9748mm","76.6826mm","27.9748mm","76.6826mm","27.4748mm","B","90.00",""
"C106","C_0402","65.325mm","34.625mm","65.325mm","34.625mm","65.325mm","34.125mm","T","90.00",""
"C105","C_0402","31.5mm","-8.5mm","31.5mm","-8.5mm","31.5mm","-8mm","B","270.00",""
"C104","C_0402","53.0832mm","32.4286mm","53.0832mm","32.4286mm","52.5832mm","32.4286mm","T","360.00",""
"C103","C_0402","54.404mm","44.9508mm","54.404mm","44.9508mm","54.904mm","44.9508mm","T","180.00",""
"C102","C_0805","53.1526mm","30.1478mm","53.1526mm","30.1478mm","52.1526mm","30.1478mm","T","360.00",""
"C101","C_0402","80.391mm","19.1196mm","80.391mm","19.1196mm","80.391mm","19.6196mm","T","270.00",""
"C100","C_0402","92.202mm","20.3134mm","92.202mm","20.3134mm","92.202mm","20.8134mm","T","270.00",""
"C99","C_0402","89.2302mm","11.4234mm","89.2302mm","11.4234mm","89.2302mm","11.9234mm","T","270.00",""
"C98","C_0402","80.391mm","16.097mm","80.391mm","16.097mm","80.391mm","16.597mm","T","270.00",""
"C97","C_0805","90mm","25mm","90mm","25mm","91mm","25mm","T","180.00","GRM21BR71A475KA73L"
"C96","C_0402","87.7824mm","11.4234mm","87.7824mm","11.4234mm","87.7824mm","11.9234mm","T","270.00",""
"C95","C_0805","91.186mm","7.207mm","91.186mm","7.207mm","91.186mm","8.207mm","T","270.00",""
"C94","C_0402","86.1314mm","11.4234mm","86.1314mm","11.4234mm","86.1314mm","11.9234mm","T","270.00",""
"C93","C_0402","84.0994mm","11.8298mm","84.0994mm","11.8298mm","84.5994mm","11.8298mm","T","180.00",""
"C92","C_0805","86.419mm","7.0668mm","86.419mm","7.0668mm","86.419mm","8.0668mm","T","270.00",""
"C91","C_0402","79.925mm","22.15mm","79.925mm","22.15mm","80.425mm","22.15mm","T","180.00",""
"C90","C_0402","81.8mm","11.825mm","81.8mm","11.825mm","81.3mm","11.825mm","T","360.00",""
"C89","C_0402","79.9592mm","20.8976mm","79.9592mm","20.8976mm","80.4592mm","20.8976mm","T","180.00",""
"C88","C_0402","82.5084mm","18.3349mm","82.5084mm","18.3349mm","82.5084mm","18.8349mm","B","270.00",""
"C87","C_0805","78.4038mm","17.0709mm","78.4038mm","17.0709mm","78.4038mm","16.0709mm","B","90.00","GRM21BR71A475KA73L"
"C86","C_0402","11.5326mm","15.7828mm","11.5326mm","15.7828mm","11.0326mm","15.7828mm","T","360.00",""
"C85","C_0402","19.8892mm","12.8364mm","19.8892mm","12.8364mm","19.8892mm","13.3364mm","T","270.00",""
"C84","C_0402","16.0792mm","3.5908mm","16.0792mm","3.5908mm","15.5792mm","3.5908mm","T","360.00",""
"C83","C_0402","12.5486mm","3.5654mm","12.5486mm","3.5654mm","12.0486mm","3.5654mm","T","360.00",""
"C82","C_0805","7.7734mm","15.0716mm","7.7734mm","15.0716mm","7.7734mm","14.0716mm","T","90.00","GRM21BR71A475KA73L"
"C81","C_0402","19.8892mm","10.7282mm","19.8892mm","10.7282mm","19.8892mm","10.2282mm","T","90.00",""
"C80","C_0805","24.2072mm","15.8844mm","24.2072mm","15.8844mm","24.2072mm","14.8844mm","T","90.00",""
"C79","C_0402","22.325mm","10.025mm","22.325mm","10.025mm","22.325mm","9.525mm","T","90.00",""
"C78","C_0402","19.8892mm","7.1976mm","19.8892mm","7.1976mm","19.8892mm","7.6976mm","T","270.00",""
"C77","C_0805","25.8074mm","9.89mm","25.8074mm","9.89mm","25.8074mm","10.89mm","T","270.00",""
"C76","C_0402","9.2974mm","3.1844mm","9.2974mm","3.1844mm","9.2974mm","3.6844mm","T","270.00",""
"C75","C_0402","19.8892mm","4.8608mm","19.8892mm","4.8608mm","19.8892mm","4.3608mm","T","90.00",""
"C74","C_0402","10.7198mm","3.1844mm","10.7198mm","3.1844mm","10.7198mm","3.6844mm","T","270.00",""
"C73","C_0402","12.372mm","7.066mm","12.372mm","7.066mm","12.872mm","7.066mm","B","180.00",""
"C72","C_0805","19.7759mm","5.9614mm","19.7759mm","5.9614mm","18.7759mm","5.9614mm","B","0.00","GRM21BR71A475KA73L"
"C71","C_0402","19.3mm","40.9mm","19.3mm","40.9mm","19.3mm","40.4mm","T","90.00",""
"C70","C_0402","22.1mm","47.875mm","22.1mm","47.875mm","22.1mm","48.375mm","T","270.00",""
"C69","C_0402","39.1mm","51.675mm","39.1mm","51.675mm","38.6mm","51.675mm","T","360.00",""
"C68","C_0402","72.8472mm","55.6514mm","72.8472mm","55.6514mm","72.8472mm","56.1514mm","B","270.00",""
"C67","C_0402","88.7222mm","45.4874mm","88.7222mm","45.4874mm","88.7222mm","44.9874mm","B","90.00",""
"C66","C_0402","72.8472mm","45.5422mm","72.8472mm","45.5422mm","72.8472mm","46.0422mm","B","270.00",""
"C65","C_0402","88.7222mm","55.5458mm","88.7222mm","55.5458mm","88.7222mm","55.0458mm","B","90.00",""
"C64","C_0402","72.8472mm","58.5978mm","72.8472mm","58.5978mm","72.8472mm","59.0978mm","B","270.00",""
"C63","C_0402","88.7222mm","41.148mm","88.7222mm","41.148mm","88.7222mm","41.648mm","B","270.00",""
"C62","C_0402","72.8472mm","52.6288mm","72.8472mm","52.6288mm","72.8472mm","53.1288mm","B","270.00",""
"C61","C_0402","88.7222mm","58.666mm","88.7222mm","58.666mm","88.7222mm","58.166mm","B","90.00",""
"C60","C_0402","72.8472mm","60.9568mm","72.8472mm","60.9568mm","72.8472mm","60.4568mm","B","90.00",""
"C59","C_0402","72.8472mm","38.6826mm","72.8472mm","38.6826mm","72.8472mm","39.1826mm","B","270.00",""
"C58","C_0402","72.8222mm","40.8924mm","72.8222mm","40.8924mm","72.8222mm","40.3924mm","B","90.00",""
"C57","C_0402","94.0562mm","52.9082mm","94.0562mm","52.9082mm","94.0562mm","53.4082mm","T","270.00",""
"C56","C_0402","78.105mm","45.3644mm","78.105mm","45.3644mm","78.105mm","44.8644mm","T","90.00",""
"C55","C_0402","94.0562mm","58.8772mm","94.0562mm","58.8772mm","94.0562mm","59.3772mm","T","270.00",""
"C54","C_0402","94.0562mm","40.9956mm","94.0562mm","40.9956mm","94.0562mm","40.4956mm","T","90.00",""
"C53","C_0402","94.0562mm","60.9934mm","94.0562mm","60.9934mm","94.0562mm","60.4934mm","T","90.00",""
"C52","C_0402","78.105mm","55.5244mm","78.105mm","55.5244mm","78.105mm","55.0244mm","T","90.00",""
"C51","C_0402","94.0562mm","45.9232mm","94.0562mm","45.9232mm","94.0562mm","46.4232mm","T","270.00",""
"C50","C_0402","78.105mm","58.3946mm","78.105mm","58.3946mm","78.105mm","57.8946mm","T","90.00",""
"C49","C_0402","94.0562mm","55.9054mm","94.0562mm","55.9054mm","94.0562mm","56.4054mm","T","270.00",""
"C48","C_0402","78.105mm","41.2274mm","78.105mm","41.2274mm","78.105mm","41.7274mm","T","270.00",""
"C47","C_0402","94.0562mm","38.608mm","94.0562mm","38.608mm","94.0562mm","39.108mm","T","270.00",""
"C46","C_0402","31.9278mm","31.877mm","31.9278mm","31.877mm","31.9278mm","32.377mm","B","270.00",""
"C45","C_0402","65.4304mm","40.6146mm","65.4304mm","40.6146mm","65.4304mm","40.1146mm","B","90.00",""
"C44","C_0402","45.6438mm","49.3522mm","45.6438mm","49.3522mm","46.1438mm","49.3522mm","B","180.00",""
"C43","C_0402","39.2176mm","49.3522mm","39.2176mm","49.3522mm","38.7176mm","49.3522mm","B","360.00",""
"C42","C_0402","66.294mm","21.971mm","66.294mm","21.971mm","65.794mm","21.971mm","B","360.00",""
"C41","C_0402","31.9278mm","41.4782mm","31.9278mm","41.4782mm","31.9278mm","40.9782mm","B","90.00",""
"C40","C_0402","31.9278mm","45.1358mm","31.9278mm","45.1358mm","31.9278mm","45.6358mm","B","270.00",""
"C39","C_0402","54.6862mm","15.9512mm","54.6862mm","15.9512mm","54.1862mm","15.9512mm","B","360.00",""
"C38","C_0402","47.7266mm","15.9512mm","47.7266mm","15.9512mm","47.2266mm","15.9512mm","B","360.00",""
"C37","C_0402","39.2mm","20.3mm","39.2mm","20.3mm","39.2mm","19.8mm","T","90.00",""
"C36","C_0402","65.4304mm","29.7434mm","65.4304mm","29.7434mm","65.4304mm","29.2434mm","B","90.00",""
"C35","C_0402","37.8mm","20.5mm","37.8mm","20.5mm","37.8mm","20mm","T","90.00",""
"C34","C_0402","60.9346mm","49.784mm","60.9346mm","49.784mm","60.9346mm","49.284mm","B","90.00",""
"C33","C_0402","30.5308mm","41.4782mm","30.5308mm","41.4782mm","30.5308mm","40.9782mm","B","90.00",""
"C32","C_0402","31.9278mm","26.6192mm","31.9278mm","26.6192mm","31.9278mm","27.1192mm","B","270.00",""
"C31","C_0402","61.341mm","15.9512mm","61.341mm","15.9512mm","60.841mm","15.9512mm","B","360.00",""
"C30","C_0402","57.3532mm","49.784mm","57.3532mm","49.784mm","57.3532mm","49.284mm","B","90.00",""
"C29","C_0402","65.4304mm","35.6616mm","65.4304mm","35.6616mm","65.4304mm","36.1616mm","B","270.00",""
"C28","C_0402","50.6476mm","49.3522mm","50.6476mm","49.3522mm","51.1476mm","49.3522mm","B","180.00",""
"C27","C_0805","45.6946mm","51.3334mm","45.6946mm","51.3334mm","46.6946mm","51.3334mm","B","180.00",""
"C26","C_0805","29.718mm","26.5684mm","29.718mm","26.5684mm","29.718mm","27.5684mm","B","270.00",""
"C25","C_0603","67.7926mm","24.384mm","67.7926mm","24.384mm","67.7926mm","23.684mm","B","90.00",""
"C24","C_0603","65.9638mm","24.384mm","65.9638mm","24.384mm","65.9638mm","23.684mm","B","90.00",""
"C23","C_0603","55.0672mm","49.6824mm","55.0672mm","49.6824mm","55.7672mm","49.6824mm","B","180.00",""
"C22","C_0603","55.0672mm","51.5112mm","55.0672mm","51.5112mm","55.7672mm","51.5112mm","B","180.00",""
"C21","C_0603","47.7266mm","14.2494mm","47.7266mm","14.2494mm","47.0266mm","14.2494mm","B","360.00",""
"C20","C_0402","26.6mm","23.3mm","26.6mm","23.3mm","26.6mm","22.8mm","T","90.00",""
"C19","C_0402","13.125mm","20.45mm","13.125mm","20.45mm","13.625mm","20.45mm","T","180.00",""
"C18","C_0402","28.175mm","38.55mm","28.175mm","38.55mm","28.675mm","38.55mm","B","180.00",""
"C17","C_0402","28.925mm","32.05mm","28.925mm","32.05mm","28.425mm","32.05mm","B","360.00",""
"C16","C_0402","77.343mm","88.5444mm","77.343mm","88.5444mm","77.843mm","88.5444mm","B","180.00",""
"C15","C_0402","89.4842mm","81.6864mm","89.4842mm","81.6864mm","89.9842mm","81.6864mm","B","180.00",""
"C14","C_0402","89.9922mm","96.2152mm","89.9922mm","96.2152mm","90.4922mm","96.2152mm","B","180.00",""
"C13","C_0805","76.25mm","87.75mm","76.25mm","87.75mm","76.25mm","88.75mm","T","270.00","TMK212AB7475KG-T"
"C12","C_0402","71.25mm","92.5mm","71.25mm","92.5mm","70.75mm","92.5mm","T","360.00",""
"C11","C_0402","74.5mm","89.5mm","74.5mm","89.5mm","74.5mm","90mm","T","270.00",""
"C10","C_D","10.4648mm","61.0616mm","10.4648mm","61.0616mm","13.7148mm","61.0616mm","B","180.00","T520D337M006ATE015"
"C9","C_D","10.4648mm","54.5846mm","10.4648mm","54.5846mm","13.7148mm","54.5846mm","B","180.00","T520D337M006ATE015"
"C8","C_1210","15.2908mm","67.3354mm","15.2908mm","67.3354mm","16.7908mm","67.3354mm","B","180.00","GRM32ER70J476ME20L"
"C7","C_0805","72.5mm","86.5mm","72.5mm","86.5mm","73.5mm","86.5mm","T","180.00","TMK212AB7475KG-T"
"C6","C_0402","25.5778mm","71.8312mm","25.5778mm","71.8312mm","25.0778mm","71.8312mm","B","360.00",""
"C5","C_0402","25.55mm","75.725mm","25.55mm","75.725mm","25.05mm","75.725mm","B","360.00","GRM155R61A474KE15D"
"C4","C_0402","26.1mm","84.7mm","26.1mm","84.7mm","25.6mm","84.7mm","B","360.00",""
"C3","C_1210","21.463mm","89.0524mm","21.463mm","89.0524mm","19.963mm","89.0524mm","B","360.00",""
"C2","C_1210","21.463mm","94.0689mm","21.463mm","94.0689mm","19.963mm","94.0689mm","B","360.00",""
"C1","C_1210","21.463mm","99.0854mm","21.463mm","99.0854mm","19.963mm","99.0854mm","B","360.00",""
"JP6","PLS-2","84.1607mm","31.8mm","84.1607mm","31.8mm","84.1607mm","30.53mm","T","90.00","61300211121"
"JP5","HDR1X10","42.93mm","-6mm","31.5mm","-6mm","31.5mm","-6mm","T","360.00","M10LOCK"

